"PAYMENT_DAY","APPLICATION_SUBMISSION_TYPE","SEX","MARITAL_STATUS","QUANT_DEPENDANTS","STATE_OF_BIRTH","NATIONALITY","RESIDENTIAL_STATE","FLAG_RESIDENCIAL_PHONE","RESIDENCE_TYPE","MONTHS_IN_RESIDENCE","FLAG_EMAIL","PERSONAL_MONTHLY_INCOME","OTHER_INCOMES","FLAG_VISA","FLAG_MASTERCARD","QUANT_SPECIAL_BANKING_ACCOUNTS","QUANT_CARS","COMPANY","PROFESSIONAL_STATE","FLAG_PROFESSIONAL_PHONE","PROFESSION_CODE","OCCUPATION_TYPE","MATE_PROFESSION_CODE","EDUCATION_LEVEL2","PRODUCT","AGE","BAD","CREDIT_AMNT"
"X2","web","f","X7",1,"rn","X2","rn",1,"X3",15,1,900,0,1,1,0,0,0,"missing",0,"X20","X6","X1","X1","X1",32,"BAD",1000
"X4","carga","f","X3",0,"rj","X2","rj",1,"X3",1,1,750,0,0,0,0,0,1,"missing",0,"X5","X6","X5","X1","X1",34,"BAD",1000
"X2","web","f","X3",0,"rn","X2","rn",1,"X3",9.72714882201501,1,500,0,0,0,0,0,0,"missing",0,"X5","X1","X1","X1","X1",27,"GOOD",1000
"X5","web","f","X3",0,"pe","X2","pe",0,"X1",9.72714882201501,1,500,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",61,"GOOD",1000
"X3","web","m","X3",0,"rj","X2","rj",1,"X3",12,1,1200,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X1",48,"BAD",1000
"X3","X0","m","X3",0,"mg","X2","mg",1,"X3",4,1,500,0,0,0,1,1,1,"mg",0,"X20","X4","X2","X2","X2",40,"BAD",1000
"X4","carga","f","X3",2,"ba","X2","ba",1,"X3",1,1,320,0,0,0,0,0,0,"missing",0,"X5","X6","X5","X1","X1",40,"BAD",1000
"X6","web","f","X2",0,"mg","X2","sp",0,"X3",4,1,489,0,0,0,0,0,1,"sp",1,"X5","X4","X1","X1","X1",28,"GOOD",1000
"X4","X0","f","X2",0,"sp","X2","sp",1,"X3",0,1,450,0,0,0,1,1,1,"missing",0,"X2","X4","X2","X2","X2",31,"GOOD",1000
"X2","X0","f","X2",0,"rs","X2","rs",1,"X3",5,1,1507,0,1,1,1,1,1,"rs",1,"X20","X4","X5","X2","X1",41,"GOOD",1000
"X6","web","f","X3",0,"ce","X2","ce",1,"X3",10,1,200,0,0,1,0,0,1,"missing",0,"X20","X6","X1","X1","X1",36,"GOOD",1000
"X4","web","f","X2",1,"mg","X2","mg",1,"X3",6,1,403,0,0,0,0,0,1,"mg",1,"X20","X4","X1","X1","X2",29,"GOOD",1000
"X6","web","f","X2",1,"mg","X2","mg",1,"X3",2,1,380,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",41,"GOOD",1000
"X6","X0","f","X3",2,"pe","X2","sp",1,"X3",12,1,607,0,0,0,0,1,1,"sp",1,"X20","X4","X2","X2","X1",36,"GOOD",1000
"X2","web","f","X2",0,"rn","X2","rn",1,"X3",3,1,375,0,0,0,0,0,1,"rn",1,"X20","X1","X1","X1","X1",19,"BAD",1000
"X5","web","f","X3",1,"ce","X2","ce",0,"X3",18,1,550,0,0,1,0,0,1,"ce",1,"X13","X6","X1","X1","X1",49,"GOOD",1000
"X6","web","f","X2",0,"rs","X2","rs",1,"X4",0,1,594.8,0,0,0,0,0,1,"rs",0,"X20","X4","X1","X1","X1",27,"GOOD",1000
